Energy_min Energy_max E_avg Model Element Map_Value HDI68_Lower_Error HDI68_Upper_Error hdi_up_95 QCount2_5_Map QCount97_5_Map
18.9 19.0 18.949499502378234 Sibyll2.3e 5600 0.0001 0.0001 0.0113 0.0272 0 0.0325
* * * * * * * * * * *
19.0 19.1 19.047456932544492 Sibyll2.3e 100 0.0003 0.0003 0.0538 0.1187 0 0.1395
19.0 19.1 19.047456932544492 Sibyll2.3e 400 0.7106 0.1309 0.0613 0.8512 0.45 0.8431
19.0 19.1 19.047456932544492 Sibyll2.3e 1400 0.289 0.0881 0.0738 0.4435 0.1205 0.443
19.0 19.1 19.047456932544492 Sibyll2.3e 5600 0.0 0.0 0.0124 0.0308 0 0.0374
* * * * * * * * * * *
19.1 19.2 19.147320768498926 Sibyll2.3e 100 0.0001 0.0001 0.0282 0.0723 0 0.0882
19.1 19.2 19.147320768498926 Sibyll2.3e 400 0.5331 0.1024 0.0936 0.7171 0.3269 0.7165
19.1 19.2 19.147320768498926 Sibyll2.3e 1400 0.4666 0.1198 0.0678 0.6229 0.2531 0.6223
19.1 19.2 19.147320768498926 Sibyll2.3e 5600 0.0001 0.0001 0.0125 0.0318 0 0.0388
* * * * * * * * * * *
19.2 19.3 19.248423122049356 Sibyll2.3e 100 0.0783 0.0782 0.0541 0.2353 0.0055 0.2624
19.2 19.3 19.248423122049356 Sibyll2.3e 400 0.3485 0.1638 0.1863 0.6433 0.0425 0.6711
19.2 19.3 19.248423122049356 Sibyll2.3e 1400 0.5732 0.1727 0.09 0.7668 0.2579 0.7564
19.2 19.3 19.248423122049356 Sibyll2.3e 5600 0.0 0.0 0.0228 0.0565 0 0.0685
* * * * * * * * * * *
19.3 19.4 19.346213561991412 Sibyll2.3e 100 0.0079 0.0079 0.0744 0.16 0.0027 0.1829
19.3 19.4 19.346213561991412 Sibyll2.3e 400 0.2603 0.1999 0.0519 0.4237 0.015 0.4652
19.3 19.4 19.346213561991412 Sibyll2.3e 1400 0.7318 0.1222 0.0942 0.898 0.4617 0.8827
19.3 19.4 19.346213561991412 Sibyll2.3e 5600 0.0 0.0 0.0302 0.073 0 0.0874
* * * * * * * * * * *
