#https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZBO52I
#energy_central,energy_lower,energy_upper,flux_central,flux_lower,flux_upper
1467.79926762207,1000.0,2154.4346900318847,5.344975764071114e-14,0.0,5.18181642560628
3162.2776601683795,2154.4346900318847,4641.588833612777,5.4254468928436,0.0,11.265090628649912
6812.920690579612,4641.588833612777,10000.0,3.8817473672983875,1.884717510449501,5.940098351032256
14677.99267622069,10000.0,21544.346900318822,4.413711579383992,3.5033782002755745,5.368642440588379
31622.77660168376,21544.346900318822,46415.888336127726,5.509730438524051,4.832661986263225,6.227235224104212
68129.20690579609,46415.888336127726,100000.0,3.343611935004336,2.8409193809857642,3.9161226862854956
146779.9267622069,100000.0,215443.46900318822,1.5491189008890978,1.194706073565389,2.046411544045534
316227.7660168376,215443.46900318822,464158.8833612772,0.313956981393216,0.0,0.6960640413569491
681292.0690579608,464158.8833612772,1000000.0,0.5934918998768411,0.40478603856373585,1.0128435450584214
1467799.267622069,1000000.0,2154434.6900318824,0.3267216853236423,0.14081051472137418,0.675293060038336
3162277.6601683763,2154434.6900318824,4641588.833612773,2.3158558404290375e-13,0.0,0.2192026599449506
6812920.690579608,4641588.833612773,10000000.0,0.2503981051746546,0.09333560694352276,0.4454253493569388
31622776.60168379,10000000.0,100000000.0,5.854691731421724e-17,0.0,0.7624095554874989
