#https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZBO52I
#energy_central,energy_lower,energy_upper,flux_central,flux_lower,flux_upper
316.22776601683796,100.0,1000.0,0.0,0.0,27.095080522339288
1467.7992676220706,1000.0,2154.4346900318847,0.0,0.0,14.680829700272398
3162.2776601683795,2154.4346900318847,4641.588833612777,0.0,0.0,3.7496160318164584
6812.920690579608,4641.588833612777,10000.0,3.1054259733921152,1.0896478477585938,4.937410655697931
14677.992676220676,10000.0,21544.346900318822,3.6228643920829797,2.9071097404086768,4.812082509105001
31622.776601683792,21544.346900318822,46415.888336127726,4.582023741602006,4.063582541142068,5.123011002694284
68129.20690579608,46415.888336127726,100000.0,2.0532411851950414,1.6251341002189292,2.4413438490719273
146779.92676220674,100000.0,215443.46900318822,1.8183859659755437,1.4382602916177802,2.2056715180845003
316227.7660168379,215443.46900318822,464158.8833612772,0.10411855881422984,0.0,0.4060860463971494
681292.0690579609,464158.8833612772,1000000.0,0.8459423855701095,0.43881768724380293,1.2724773756766201
1467799.2676220676,1000000.0,2154434.6900318824,0.42584756278897035,0.16205429697038198,0.8131160721336528
3162277.6601683795,2154434.6900318824,4641588.833612773,0.0,0.0,0.20139207982902008
6812920.690579608,4641588.833612773,10000000.0,0.015157580532533957,0.0,0.08603946464972978
31622776.60168379,10000000.0,100000000.0,0.07789995538115546,0.0,0.3459194826325529
